,Player,Team,Year,Conf,Age,Games,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,MPpg,PTSpg,FGpg,3Ppg,FTpg,ORBpg,DRBpg,TRBpg,ASTpg,STLpg,BLKpg,TOVpg,PFpg,Target
1450,Wang Zhizhi,DAL,2001,WEST,23,5,38,24,8,19,0.421,0,2,0,8,10,0.8,1,6,7,0,0,0,1,8,7.6,4.8,1.6,0,1.6,0.2,1.2,1.4,0,0,0,0.2,1.6,1
1451,Malik Allen,MIA,2001,EAST,23,12,161,52,22,51,0.431,0,1,0,8,10,0.8,15,23,38,5,3,8,2,16,13.42,4.3,1.83,0,0.67,1.25,1.92,3.2,0.4,0.25,0.67,0.17,1.33,1
1452,Chris Andersen,DEN,2001,WEST,23,24,262,72,25,74,0.338,0,4,0,22,28,0.786,38,38,76,7,7,28,13,35,10.92,3,1.04,0,0.92,1.58,1.58,3.2,0.3,0.29,1.17,0.54,1.46,1
1453,Gilbert Arenas,GSW,2001,WEST,20,47,1155,511,174,384,0.453,39,113,0.345,124,160,0.775,41,91,132,174,69,11,97,115,24.57,10.9,3.7,0.83,2.64,0.87,1.94,2.8,3.7,1.47,0.23,2.06,2.45,1
1454,Brandon Armstrong,NJN,2001,EAST,21,35,196,64,27,85,0.318,5,17,0.294,5,10,0.5,10,6,16,8,7,1,8,26,5.6,1.8,0.77,0.14,0.14,0.29,0.17,0.5,0.2,0.2,0.03,0.23,0.74,1
1455,Carlos Arroyo,TOR,2001,EAST,22,37,371,111,49,111,0.441,0,2,0,13,18,0.722,12,28,40,70,11,1,23,30,10.03,3,1.32,0,0.35,0.32,0.76,1.1,1.9,0.3,0.03,0.62,0.81,1
1456,Mengke Bateer,DEN,2002,WEST,26,27,408,139,53,132,0.402,4,12,0.333,29,37,0.784,32,64,96,22,10,5,32,94,15.11,5.1,1.96,0.15,1.07,1.19,2.37,3.6,0.8,0.37,0.19,1.19,3.48,1
1457,Shane Battier,MEM,2001,WEST,23,78,3097,1125,412,961,0.429,103,276,0.373,198,283,0.7,180,238,418,216,121,81,155,215,39.71,14.4,5.28,1.32,2.54,2.31,3.05,5.4,2.8,1.55,1.04,1.99,2.76,1
1458,Charlie Bell,PHO,2001,WEST,22,7,44,8,3,11,0.273,0,6,0,2,2,1,2,3,5,2,0,0,5,3,6.29,1.1,0.43,0,0.29,0.29,0.43,0.7,0.3,0,0,0.71,0.43,1
1459,Ruben Boumtje-Boumtje,POR,2001,WEST,23,33,245,39,13,32,0.406,0,0,0,13,25,0.52,21,34,55,4,3,16,14,38,7.42,1.2,0.39,0,0.39,0.64,1.03,1.7,0.1,0.09,0.48,0.42,1.15,1
1460,Michael Bradley,TOR,2001,EAST,22,26,118,30,13,25,0.52,0,2,0,4,8,0.5,7,17,24,3,0,6,6,10,4.54,1.2,0.5,0,0.15,0.27,0.65,0.9,0.1,0,0.23,0.23,0.38,1
1461,Jamison Brewer,IND,2001,EAST,21,13,43,4,2,5,0.4,0,1,0,0,0,0,2,6,8,9,2,0,3,3,3.31,0.3,0.15,0,0,0.15,0.46,0.6,0.7,0.15,0,0.23,0.23,1
1462,Primož Brezec,IND,2001,EAST,22,22,160,43,14,29,0.483,0,0,0,15,25,0.6,16,12,28,6,0,7,6,28,7.27,2,0.64,0,0.68,0.73,0.55,1.3,0.3,0,0.32,0.27,1.27,1
1463,Damone Brown,PHI,2001,EAST,22,17,67,23,8,21,0.381,0,1,0,7,8,0.875,2,2,4,2,1,1,9,11,3.94,1.4,0.47,0,0.41,0.12,0.12,0.2,0.1,0.06,0.06,0.53,0.65,1
1464,Ernest Brown,MIA,2001,EAST,22,3,21,3,1,6,0.167,0,0,0,1,4,0.25,1,5,6,0,0,1,3,4,7,1,0.33,0,0.33,0.33,1.67,2,0,0,0.33,1,1.33,0
1465,Kedrick Brown,BOS,2001,EAST,20,29,245,63,23,70,0.329,5,27,0.185,12,20,0.6,11,39,50,15,18,7,7,18,8.45,2.2,0.79,0.17,0.41,0.38,1.34,1.7,0.5,0.62,0.24,0.24,0.62,1
1466,Kwame Brown,WAS,2001,EAST,19,57,817,258,94,243,0.387,0,1,0,70,99,0.707,63,135,198,43,16,26,43,105,14.33,4.5,1.65,0,1.23,1.11,2.37,3.5,0.8,0.28,0.46,0.75,1.84,1
1467,Tierre Brown,HOU,2001,EAST,22,40,403,123,49,115,0.426,4,12,0.333,21,28,0.75,12,30,42,70,19,3,40,26,10.07,3.1,1.23,0.1,0.52,0.3,0.75,1.1,1.8,0.48,0.08,1,0.65,1
1468,Tyson Chandler,CHI,2001,EAST,19,71,1389,436,151,304,0.497,0,0,0,134,222,0.604,114,229,343,54,28,93,99,179,19.56,6.1,2.13,0,1.89,1.61,3.23,4.8,0.8,0.39,1.31,1.39,2.52,1
1469,Speedy Claxton,PHI,2001,EAST,23,67,1528,480,181,452,0.4,4,33,0.121,114,136,0.838,46,114,160,198,95,6,95,145,22.81,7.2,2.7,0.06,1.7,0.69,1.7,2.4,3,1.42,0.09,1.42,2.16,1
1470,Jarron Collins,UTA,2001,WEST,23,70,1440,450,158,343,0.461,0,1,0,134,181,0.74,138,158,296,58,29,22,56,234,20.57,6.4,2.26,0,1.91,1.97,2.26,4.2,0.8,0.41,0.31,0.8,3.34,1
1471,Jason Collins,NJN,2001,EAST,23,77,1407,350,117,278,0.421,1,2,0.5,115,164,0.701,132,169,301,81,29,47,72,173,18.27,4.5,1.52,0.01,1.49,1.71,2.19,3.9,1.1,0.38,0.61,0.94,2.25,1
1472,Joe Crispin,LAL,2001,WEST,22,21,156,79,26,68,0.382,15,39,0.385,12,13,0.923,2,9,11,26,5,0,10,10,7.43,3.8,1.24,0.71,0.57,0.1,0.43,0.5,1.2,0.24,0,0.48,0.48,0
1473,Eddy Curry,CHI,2001,EAST,19,72,1150,483,189,377,0.501,0,0,0,105,160,0.656,111,161,272,25,16,53,69,173,15.97,6.7,2.62,0,1.46,1.54,2.24,3.8,0.3,0.22,0.74,0.96,2.4,1
1474,Samuel Dalembert,PHI,2001,EAST,20,34,177,51,22,50,0.44,0,0,0,7,18,0.389,25,43,68,5,6,13,14,30,5.21,1.5,0.65,0,0.21,0.74,1.26,2,0.1,0.18,0.38,0.41,0.88,1
1475,DeSagana Diop,CLE,2001,EAST,20,18,109,25,12,29,0.414,0,0,0,1,5,0.2,5,12,17,5,1,10,12,19,6.06,1.4,0.67,0,0.06,0.28,0.67,0.9,0.3,0.06,0.56,0.67,1.06,1
1476,Predrag Drobnjak,SEA,2001,WEST,26,64,1174,437,191,414,0.461,0,2,0,55,73,0.753,75,144,219,51,20,31,51,109,18.34,6.8,2.98,0,0.86,1.17,2.25,3.4,0.8,0.31,0.48,0.8,1.7,1
1477,Maurice Evans,MIN,2001,EAST,23,10,45,21,9,19,0.474,0,3,0,3,4,0.75,3,1,4,4,0,0,2,9,4.5,2.1,0.9,0,0.3,0.3,0.1,0.4,0.4,0,0,0.2,0.9,1
1478,Isaac Fontaine,MEM,2002,WEST,26,6,75,11,3,14,0.214,1,5,0.2,4,6,0.667,0,5,5,4,0,0,4,6,12.5,1.8,0.5,0.17,0.67,0,0.83,0.8,0.7,0,0,0.67,1,0
1479,Alton Ford,PHO,2001,WEST,20,53,452,164,61,118,0.517,0,0,0,42,57,0.737,32,75,107,7,6,7,32,99,8.53,3.1,1.15,0,0.79,0.6,1.42,2,0.1,0.11,0.13,0.6,1.87,1
1480,Joseph Forte,BOS,2001,EAST,20,8,39,6,1,12,0.083,0,3,0,4,4,1,1,5,6,6,2,0,3,1,4.88,0.8,0.12,0,0.5,0.12,0.62,0.8,0.8,0.25,0,0.38,0.12,0
1481,Antonis Fotsis,MEM,2001,WEST,20,28,320,108,42,104,0.404,7,23,0.304,17,20,0.85,25,37,62,10,9,11,21,22,11.43,3.9,1.5,0.25,0.61,0.89,1.32,2.2,0.4,0.32,0.39,0.75,0.79,0
1482,Tremaine Fowlkes,LAC,2002,WEST,25,22,343,74,25,64,0.391,0,0,0,24,31,0.774,32,32,64,17,11,1,13,39,15.59,3.4,1.14,0,1.09,1.45,1.45,2.9,0.8,0.5,0.05,0.59,1.77,1
1483,Pau Gasol,MEM,2001,WEST,21,82,3007,1441,551,1064,0.518,1,5,0.2,338,477,0.709,238,492,730,223,41,169,224,195,36.67,17.6,6.72,0.01,4.12,2.9,6,8.9,2.7,0.5,2.06,2.73,2.38,1
1484,Eddie Griffin,HOU,2001,EAST,19,73,1896,642,244,666,0.366,90,273,0.33,64,86,0.744,117,299,416,53,17,134,47,117,25.97,8.8,3.34,1.23,0.88,1.6,4.1,5.7,0.7,0.23,1.84,0.64,1.6,1
1485,Tang Hamilton,MIA,2001,EAST,23,9,98,20,10,19,0.526,0,1,0,0,1,0,6,12,18,5,4,0,2,10,10.89,2.2,1.11,0,0,0.67,1.33,2,0.6,0.44,0,0.22,1.11,0
1486,Trenton Hassell,CHI,2001,EAST,22,78,2237,681,267,628,0.425,60,165,0.364,87,114,0.763,65,190,255,172,55,44,101,184,28.68,8.7,3.42,0.77,1.12,0.83,2.44,3.3,2.2,0.71,0.56,1.29,2.36,1
1487,Kirk Haston,CHH,2001,EAST,22,15,77,26,11,39,0.282,0,3,0,4,8,0.5,5,15,20,5,0,1,3,9,5.13,1.7,0.73,0,0.27,0.33,1,1.3,0.3,0,0.07,0.2,0.6,0
1488,Brendan Haywood,WAS,2001,EAST,22,62,1266,315,109,221,0.493,0,0,0,97,160,0.606,143,179,322,29,21,91,50,158,20.42,5.1,1.76,0,1.56,2.31,2.89,5.2,0.5,0.34,1.47,0.81,2.55,1
1489,Steven Hunter,ORL,2001,EAST,20,53,516,189,67,147,0.456,0,0,0,55,94,0.585,40,57,97,5,5,43,16,81,9.74,3.6,1.26,0,1.04,0.75,1.08,1.8,0.1,0.09,0.81,0.3,1.53,1
1490,Mike James,MIA,2001,EAST,26,15,119,42,15,43,0.349,8,21,0.381,4,7,0.571,2,12,14,19,6,1,13,17,7.93,2.8,1,0.53,0.27,0.13,0.8,0.9,1.3,0.4,0.07,0.87,1.13,1
1491,Richard Jefferson,NJN,2001,EAST,21,79,1917,742,270,591,0.457,13,56,0.232,189,265,0.713,85,208,293,140,64,48,107,211,24.27,9.4,3.42,0.16,2.39,1.08,2.63,3.7,1.8,0.81,0.61,1.35,2.67,1
1492,Joe Johnson,BOS,2001,EAST,20,77,1916,581,251,584,0.43,38,130,0.292,41,53,0.774,75,182,257,179,59,20,71,114,24.88,7.5,3.26,0.49,0.53,0.97,2.36,3.3,2.3,0.77,0.26,0.92,1.48,1
1493,Alvin Jones,PHI,2001,EAST,23,23,126,26,8,20,0.4,0,0,0,10,20,0.5,13,23,36,3,3,9,11,35,5.48,1.1,0.35,0,0.43,0.57,1,1.6,0.1,0.13,0.39,0.48,1.52,0
1494,Andrei Kirilenko,UTA,2001,WEST,20,82,2151,880,285,633,0.45,25,100,0.25,285,371,0.768,149,253,402,94,116,159,108,156,26.23,10.7,3.48,0.3,3.48,1.82,3.09,4.9,1.1,1.41,1.94,1.32,1.9,1
1495,Terence Morris,HOU,2001,EAST,23,68,1110,255,111,289,0.384,15,78,0.192,18,28,0.643,77,134,211,64,21,27,45,72,16.32,3.8,1.63,0.22,0.26,1.13,1.97,3.1,0.9,0.31,0.4,0.66,1.06,1
1496,Troy Murphy,GSW,2001,WEST,21,82,1448,480,178,423,0.421,3,9,0.333,121,156,0.776,99,223,322,70,36,21,84,217,17.66,5.9,2.17,0.04,1.48,1.21,2.72,3.9,0.9,0.44,0.26,1.02,2.65,1
1497,Dean Oliver,GSW,2002,WEST,23,20,139,42,17,46,0.37,2,13,0.154,6,9,0.667,0,8,8,21,3,0,11,16,6.95,2.1,0.85,0.1,0.3,0,0.4,0.4,1.1,0.15,0,0.55,0.8,0
1498,Tony Parker,SAS,2001,WEST,19,77,2267,705,268,639,0.419,61,189,0.323,108,160,0.675,33,164,197,334,89,7,151,166,29.44,9.2,3.48,0.79,1.4,0.43,2.13,2.6,4.3,1.16,0.09,1.96,2.16,1
1499,Vladimir Radmanović,SEA,2001,WEST,21,61,1230,407,146,354,0.412,66,157,0.42,49,72,0.681,45,185,230,81,56,24,72,119,20.16,6.7,2.39,1.08,0.8,0.74,3.03,3.8,1.3,0.92,0.39,1.18,1.95,1
1500,Zach Randolph,POR,2001,WEST,20,41,238,114,48,107,0.449,0,0,0,18,27,0.667,31,38,69,13,7,4,15,29,5.8,2.8,1.17,0,0.44,0.76,0.93,1.7,0.3,0.17,0.1,0.37,0.71,1
1501,Željko Rebrača,DET,2001,EAST,29,74,1179,513,189,374,0.505,0,0,0,135,175,0.771,84,206,290,38,28,73,84,192,15.93,6.9,2.55,0,1.82,1.14,2.78,3.9,0.5,0.38,0.99,1.14,2.59,1
1502,Jason Richardson,GSW,2001,WEST,21,80,2629,1151,464,1090,0.426,82,246,0.333,141,210,0.671,124,216,340,236,106,31,160,195,32.86,14.4,5.8,1.02,1.76,1.55,2.7,4.3,3,1.32,0.39,2,2.44,1
1503,Norm Richardson,IND,2002,EAST,22,11,67,30,10,26,0.385,4,8,0.5,6,9,0.667,3,5,8,2,0,0,3,5,6.09,2.7,0.91,0.36,0.55,0.27,0.45,0.7,0.2,0,0,0.27,0.45,0
1504,Jeryl Sasser,ORL,2001,EAST,22,7,36,10,3,14,0.214,0,0,0,4,5,0.8,3,4,7,2,3,0,2,3,5.14,1.4,0.43,0,0.57,0.43,0.57,1,0.3,0.43,0,0.29,0.43,0
1505,Kenny Satterfield,DEN,2001,WEST,20,36,560,189,73,199,0.367,7,27,0.259,36,46,0.783,17,35,52,108,31,1,53,43,15.56,5.3,2.03,0.19,1,0.47,0.97,1.4,3,0.86,0.03,1.47,1.19,0
1506,Brian Scalabrine,NJN,2002,EAST,23,28,290,60,23,67,0.343,3,10,0.3,11,15,0.733,12,39,51,21,9,2,24,39,10.36,2.1,0.82,0.11,0.39,0.43,1.39,1.8,0.8,0.32,0.07,0.86,1.39,1
1507,Ansu Sesay,SEA,2002,WEST,25,9,142,58,22,44,0.5,0,0,0,14,20,0.7,7,13,20,8,3,2,2,18,15.78,6.4,2.44,0,1.56,0.78,1.44,2.2,0.9,0.33,0.22,0.22,2,1
1508,Bobby Simmons,WAS,2001,EAST,21,30,343,112,43,95,0.453,4,14,0.286,22,30,0.733,25,27,52,17,13,5,14,31,11.43,3.7,1.43,0.13,0.73,0.83,0.9,1.7,0.6,0.43,0.17,0.47,1.03,1
1509,Leon Smith,ATL,2002,EAST,21,14,100,31,10,26,0.385,0,0,0,11,17,0.647,10,21,31,3,5,1,3,12,7.14,2.2,0.71,0,0.79,0.71,1.5,2.2,0.2,0.36,0.07,0.21,0.86,0
1510,Will Solomon,MEM,2001,WEST,23,62,872,321,113,331,0.341,46,162,0.284,49,73,0.671,12,56,68,92,35,7,62,76,14.06,5.2,1.82,0.74,0.79,0.19,0.9,1.1,1.5,0.56,0.11,1,1.23,0
1511,Etan Thomas,WAS,2001,EAST,23,47,618,203,81,151,0.536,0,0,0,41,74,0.554,55,126,181,6,17,35,26,76,13.15,4.3,1.72,0,0.87,1.17,2.68,3.9,0.1,0.36,0.74,0.55,1.62,1
1512,Jamaal Tinsley,IND,2001,EAST,23,80,2442,751,289,760,0.38,42,175,0.24,131,186,0.704,78,220,298,647,138,40,270,248,30.52,9.4,3.61,0.52,1.64,0.98,2.75,3.7,8.1,1.72,0.5,3.38,3.1,1
1513,Óscar Torres,HOU,2001,EAST,25,65,1075,389,135,341,0.396,37,126,0.294,82,105,0.781,47,75,122,40,25,9,49,64,16.54,6,2.08,0.57,1.26,0.72,1.15,1.9,0.6,0.38,0.14,0.75,0.98,0
1514,Jeff Trepagnier,CLE,2001,EAST,22,12,77,18,7,23,0.304,0,1,0,4,7,0.571,3,9,12,12,8,4,11,8,6.42,1.5,0.58,0,0.33,0.25,0.75,1,1,0.67,0.33,0.92,0.67,1
1515,Ratko Varda,DET,2002,EAST,22,1,6,5,2,3,0.667,0,0,0,1,1,1,0,1,1,0,0,0,1,3,6,5,2,0,1,0,1,1,0,0,0,1,3,0
1516,Gerald Wallace,SAC,2001,WEST,19,54,430,173,75,175,0.429,0,7,0,23,46,0.5,49,40,89,27,19,6,22,46,7.96,3.2,1.39,0,0.43,0.91,0.74,1.6,0.5,0.35,0.11,0.41,0.85,1
1517,Earl Watson,SEA,2001,WEST,22,64,964,231,96,212,0.453,16,44,0.364,23,36,0.639,31,52,83,125,60,5,51,93,15.06,3.6,1.5,0.25,0.36,0.48,0.81,1.3,2,0.94,0.08,0.8,1.45,1
1518,Rodney White,DET,2001,EAST,21,16,129,56,21,60,0.35,2,9,0.222,12,14,0.857,2,16,18,12,9,2,14,6,8.06,3.5,1.31,0.12,0.75,0.12,1,1.1,0.8,0.56,0.12,0.88,0.38,1
1519,Loren Woods,MIN,2001,EAST,23,60,516,110,33,96,0.344,0,2,0,44,60,0.733,46,76,122,22,17,34,36,60,8.6,1.8,0.55,0,0.73,0.77,1.27,2,0.4,0.28,0.57,0.6,1,1
1520,Robert Archibald,MEM,2002,WEST,22,12,72,19,6,20,0.3,0,0,0,7,18,0.389,6,11,17,3,0,3,7,9,6,1.6,0.5,0,0.58,0.5,0.92,1.4,0.3,0,0.25,0.58,0.75,0
1521,Maceo Baston,TOR,2003,EAST,27,16,106,40,15,25,0.6,0,0,0,10,12,0.833,4,19,23,0,4,11,6,16,6.62,2.5,0.94,0,0.62,0.25,1.19,1.4,0,0.25,0.69,0.38,1,1
1522,Mike Batiste,MEM,2002,WEST,25,75,1248,481,197,467,0.422,18,81,0.222,69,88,0.784,82,175,257,52,42,16,69,120,16.64,6.4,2.63,0.24,0.92,1.09,2.33,3.4,0.7,0.56,0.21,0.92,1.6,0
1523,Lonny Baxter,CHI,2002,EAST,24,55,682,262,96,206,0.466,0,2,0,70,103,0.68,65,100,165,16,9,22,46,135,12.4,4.8,1.75,0,1.27,1.18,1.82,3,0.3,0.16,0.4,0.84,2.45,1
1524,Carlos Boozer,CLE,2002,EAST,21,81,2049,810,331,618,0.536,0,1,0,148,192,0.771,202,407,609,106,59,50,103,224,25.3,10,4.09,0,1.83,2.49,5.02,7.5,1.3,0.73,0.62,1.27,2.77,1
1525,J.R. Bremer,BOS,2002,EAST,22,64,1503,528,171,464,0.369,101,286,0.353,85,111,0.766,18,127,145,164,38,3,59,80,23.48,8.3,2.67,1.58,1.33,0.28,1.98,2.3,2.6,0.59,0.05,0.92,1.25,0
1526,Devin Brown,SAS,2002,WEST,24,10,93,30,12,35,0.343,0,1,0,6,8,0.75,8,10,18,7,4,1,9,14,9.3,3,1.2,0,0.6,0.8,1,1.8,0.7,0.4,0.1,0.9,1.4,1
1527,Pat Burke,ORL,2002,EAST,29,62,783,267,113,296,0.382,1,7,0.143,40,58,0.69,57,89,146,23,19,25,47,99,12.63,4.3,1.82,0.02,0.65,0.92,1.44,2.4,0.4,0.31,0.4,0.76,1.6,1
1528,Caron Butler,MIA,2002,EAST,22,78,2858,1201,429,1032,0.416,34,107,0.318,309,375,0.824,135,262,397,213,137,31,192,230,36.64,15.4,5.5,0.44,3.96,1.73,3.36,5.1,2.7,1.76,0.4,2.46,2.95,1
1529,Rasual Butler,MIA,2002,EAST,23,72,1514,540,207,572,0.362,50,171,0.292,76,104,0.731,29,157,186,93,21,43,77,105,21.03,7.5,2.88,0.69,1.06,0.4,2.18,2.6,1.3,0.29,0.6,1.07,1.46,1
1530,Dan Dickau,ATL,2002,EAST,24,50,515,183,70,170,0.412,22,61,0.361,21,26,0.808,9,34,43,85,14,2,53,66,10.3,3.7,1.4,0.44,0.42,0.18,0.68,0.9,1.7,0.28,0.04,1.06,1.32,1
1531,Juan Dixon,WAS,2002,EAST,24,42,647,270,104,271,0.384,25,84,0.298,37,46,0.804,13,59,72,40,26,3,42,54,15.4,6.4,2.48,0.6,0.88,0.31,1.4,1.7,1,0.62,0.07,1,1.29,1
1532,Mike Dunleavy,GSW,2002,WEST,22,82,1305,466,168,417,0.403,52,150,0.347,78,100,0.78,66,148,214,106,53,19,86,120,15.91,5.7,2.05,0.63,0.95,0.8,1.8,2.6,1.3,0.65,0.23,1.05,1.46,1
1533,Melvin Ely,LAC,2002,WEST,24,52,802,236,92,186,0.495,0,0,0,52,74,0.703,64,110,174,15,10,32,50,95,15.42,4.5,1.77,0,1,1.23,2.12,3.3,0.3,0.19,0.62,0.96,1.83,1
1534,Reggie Evans,SEA,2002,WEST,22,67,1365,212,66,140,0.471,0,0,0,80,154,0.519,167,278,445,34,38,11,52,173,20.37,3.2,0.99,0,1.19,2.49,4.15,6.6,0.5,0.57,0.16,0.78,2.58,1
1535,Dan Gadzuric,MIL,2002,EAST,24,49,760,169,70,145,0.483,0,1,0,29,56,0.518,66,131,197,9,22,52,27,125,15.51,3.4,1.43,0,0.59,1.35,2.67,4,0.2,0.45,1.06,0.55,2.55,1
1536,Manu Ginóbili,SAS,2002,WEST,25,69,1431,525,174,397,0.438,51,148,0.345,126,171,0.737,47,114,161,138,96,17,100,170,20.74,7.6,2.52,0.74,1.83,0.68,1.65,2.3,2,1.39,0.25,1.45,2.46,1
1537,Gordan Giriček,MEM,2002,WEST,25,76,2148,935,350,803,0.436,85,249,0.341,150,183,0.82,36,202,238,137,52,8,145,159,28.26,12.3,4.61,1.12,1.97,0.47,2.66,3.1,1.8,0.68,0.11,1.91,2.09,1
1538,Drew Gooden,MEM,2002,WEST,21,70,1873,875,355,777,0.457,14,48,0.292,151,212,0.712,163,292,455,83,53,35,150,172,26.76,12.5,5.07,0.2,2.16,2.33,4.17,6.5,1.2,0.76,0.5,2.14,2.46,1
1539,Marcus Haislip,MIL,2002,EAST,22,39,441,161,66,153,0.431,3,12,0.25,26,38,0.684,21,32,53,9,7,18,21,55,11.31,4.1,1.69,0.08,0.67,0.54,0.82,1.4,0.2,0.18,0.46,0.54,1.41,1
1540,Adam Harrington,DAL,2002,WEST,22,19,111,30,11,37,0.297,5,14,0.357,3,4,0.75,1,7,8,12,2,1,2,8,5.84,1.6,0.58,0.26,0.16,0.05,0.37,0.4,0.6,0.11,0.05,0.11,0.42,0
1541,Junior Harrington,DEN,2002,WEST,22,82,2003,418,169,467,0.362,7,28,0.25,73,112,0.652,44,206,250,277,80,15,157,250,24.43,5.1,2.06,0.09,0.89,0.54,2.51,3,3.4,0.98,0.18,1.91,3.05,1
1542,Juaquin Hawkins,HOU,2002,EAST,29,58,685,134,57,148,0.385,10,24,0.417,10,20,0.5,16,62,78,47,29,6,29,57,11.81,2.3,0.98,0.17,0.17,0.28,1.07,1.3,0.8,0.5,0.1,0.5,0.98,0
1543,Nenê,DEN,2002,WEST,20,80,2258,839,321,619,0.519,0,3,0,197,341,0.578,208,283,491,149,127,65,181,295,28.22,10.5,4.01,0,2.46,2.6,3.54,6.1,1.9,1.59,0.81,2.26,3.69,1
1544,Nate Huffman,TOR,2002,EAST,27,7,76,23,9,25,0.36,0,0,0,5,8,0.625,9,14,23,5,1,3,3,13,10.86,3.3,1.29,0,0.71,1.29,2,3.3,0.7,0.14,0.43,0.43,1.86,0
1545,Ryan Humphrey,ORL,2002,EAST,23,48,444,93,35,120,0.292,0,0,0,23,39,0.59,34,65,99,11,9,18,23,75,9.25,1.9,0.73,0,0.48,0.71,1.35,2.1,0.2,0.19,0.38,0.48,1.56,1
1546,Casey Jacobsen,PHO,2002,WEST,21,72,1147,368,122,327,0.373,52,165,0.315,72,105,0.686,29,54,83,73,35,6,55,90,15.93,5.1,1.69,0.72,1,0.4,0.75,1.2,1,0.49,0.08,0.76,1.25,1
1547,Marko Jarić,LAC,2002,WEST,24,66,1379,490,179,446,0.401,53,166,0.319,79,105,0.752,35,125,160,193,97,11,103,125,20.89,7.4,2.71,0.8,1.2,0.53,1.89,2.4,2.9,1.47,0.17,1.56,1.89,1
1548,Chris Jefferies,TOR,2002,EAST,22,51,666,197,75,194,0.387,18,54,0.333,29,43,0.674,16,43,59,22,19,16,45,56,13.06,3.9,1.47,0.35,0.57,0.31,0.84,1.2,0.4,0.37,0.31,0.88,1.1,0
1549,Jared Jeffries,WAS,2002,EAST,21,20,292,79,30,63,0.476,3,6,0.5,16,29,0.552,26,32,58,16,8,5,21,28,14.6,4,1.5,0.15,0.8,1.3,1.6,2.9,0.8,0.4,0.25,1.05,1.4,1
1550,Ken Johnson,MIA,2002,EAST,24,16,156,32,15,37,0.405,0,0,0,2,6,0.333,4,28,32,0,1,12,6,20,9.75,2,0.94,0,0.12,0.25,1.75,2,0,0.06,0.75,0.38,1.25,0
1551,Fred Jones,IND,2002,EAST,23,19,115,23,9,24,0.375,2,7,0.286,3,4,0.75,4,5,9,5,6,1,6,13,6.05,1.2,0.47,0.11,0.16,0.21,0.26,0.5,0.3,0.32,0.05,0.32,0.68,1
1552,Sean Lampley,MIA,2002,EAST,23,35,487,169,56,129,0.434,0,4,0,57,82,0.695,26,57,83,31,7,3,25,43,13.91,4.8,1.6,0,1.63,0.74,1.63,2.4,0.9,0.2,0.09,0.71,1.23,0
1553,Tito Maddox,HOU,2002,EAST,21,9,35,11,3,12,0.25,0,3,0,5,8,0.625,1,6,7,5,3,1,3,4,3.89,1.2,0.33,0,0.56,0.11,0.67,0.8,0.6,0.33,0.11,0.33,0.44,0
1554,Roger Mason,CHI,2003,EAST,22,17,113,30,11,31,0.355,6,18,0.333,2,2,1,2,10,12,12,4,0,5,20,6.65,1.8,0.65,0.35,0.12,0.12,0.59,0.7,0.7,0.24,0,0.29,1.18,1
1555,Yao Ming*,HOU,2002,EAST,22,82,2382,1104,401,805,0.498,1,2,0.5,301,371,0.811,196,479,675,137,31,147,173,230,29.05,13.5,4.89,0.01,3.67,2.39,5.84,8.2,1.7,0.38,1.79,2.11,2.8,1
1556,Ronald Murray,MIL,2002,EAST,23,14,62,27,11,31,0.355,0,5,0,5,8,0.625,0,4,4,5,4,0,8,0,4.43,1.9,0.79,0,0.36,0,0.29,0.3,0.4,0.29,0,0.57,0,1
1557,Boštjan Nachbar,HOU,2002,EAST,22,14,77,29,11,31,0.355,2,10,0.2,5,10,0.5,3,8,11,3,2,2,6,13,5.5,2.1,0.79,0.14,0.36,0.21,0.57,0.8,0.2,0.14,0.14,0.43,0.93,1
1558,Mehmet Okur,DET,2002,EAST,23,72,1366,494,180,423,0.426,38,112,0.339,96,131,0.733,117,218,335,71,25,39,66,167,18.97,6.9,2.5,0.53,1.33,1.62,3.03,4.7,1,0.35,0.54,0.92,2.32,1
1559,Chris Owens,MEM,2003,WEST,23,1,6,4,2,3,0.667,0,0,0,0,0,0,1,0,1,0,0,0,1,0,6,4,2,0,0,1,0,1,0,0,0,1,0,0
1560,Jannero Pargo,LAL,2002,WEST,23,34,342,85,37,93,0.398,7,24,0.292,4,4,1,9,28,37,39,13,2,23,45,10.06,2.5,1.09,0.21,0.12,0.26,0.82,1.1,1.1,0.38,0.06,0.68,1.32,1
1561,Smush Parker,CLE,2002,EAST,21,66,1103,408,136,338,0.402,38,118,0.322,98,118,0.831,29,90,119,162,48,12,133,106,16.71,6.2,2.06,0.58,1.48,0.44,1.36,1.8,2.5,0.73,0.18,2.02,1.61,1
1562,Tayshaun Prince,DET,2002,EAST,22,42,435,137,53,118,0.449,20,47,0.426,11,17,0.647,5,40,45,24,10,14,21,25,10.36,3.3,1.26,0.48,0.26,0.12,0.95,1.1,0.6,0.24,0.33,0.5,0.6,1
1563,Igor Rakočević,MIN,2002,EAST,24,42,244,78,22,58,0.379,5,12,0.417,29,36,0.806,4,13,17,33,4,0,23,25,5.81,1.9,0.52,0.12,0.69,0.1,0.31,0.4,0.8,0.1,0,0.55,0.6,0
